Index,Track Name,Latitude,Longitude,Elevation,MetersfromLastNode
3607,steep path more details,18.0321364,-66.0360792,105.002,10.63795318
3622,steep path more details,18.0323004,-66.0360232,115.824,21.97132119
3662,steep path more details,18.0326294,-66.0359738,115.824,36.91011839
3702,steep path more details,18.032155,-66.0363154,123.412,64.8094047
3705,steep path more details,18.032143,-66.0363122,122.812,1.287567612
3706,steep path more details,18.0321476,-66.0363114,121.652,1.480405344
3708,steep path more details,18.0321564,-66.036317,119.322,2.554849447
3709,steep path more details,18.0321532,-66.0363154,118.362,0.978596364
3785,steep path more details,18.032438,-66.03486,106.812,158.1876638
3786,more details last path,18.031236,-66.030621,77.736,0
3879,more details last path,18.0334628,-66.0325966,94.736,324.7338099
3881,more details last path,18.033456,-66.032592,94.536,1.066933974
3891,more details last path,18.0336338,-66.0326444,91.936,20.54850529
3922,more details last path,18.0337434,-66.0330594,89.976,45.73981782
3923,more details last path,18.0337452,-66.0330542,89.416,0.933372244
3924,more details last path,18.0337416,-66.0330488,89.476,0.384452042
3957,more details last path,18.033421,-66.0325976,97.066,60.02991548
3961,more details last path,18.0334276,-66.0326002,96.376,1.02611573
3962,more details last path,18.0334226,-66.0326008,96.956,0.812931479
4176,more details last path,18.0347406,-66.0310958,108.456,216.4718729
4198,more details last path,18.0348822,-66.0306916,111.876,46.23360364
4202,more details last path,18.0348754,-66.0308194,111.416,13.74988535
4207,more details last path,18.034992,-66.030404,107.446,46.07664647
4218,more details last path,18.034895,-66.0306474,107.086,28.16302841
4226,more details last path,18.03494,-66.0305362,108.156,13.34717069
4227,more details last path,18.0349396,-66.0305346,109.196,1.05719007
4228,more details last path,18.0349406,-66.0305388,110.236,1.280303342
4346,more details last path,18.0320096,-66.0292312,80.772,355.4927072
4348,more details last path,18.032019,-66.0292244,82.546,2.108294656
4357,more details last path,18.0320022,-66.0291338,89.686,11.9467768
4363,more details last path,18.0319952,-66.0292098,87.656,8.219007622
4456,more details last path,18.0317694,-66.0315974,77.736,253.4968907
4461,more details last path,18.0317484,-66.0315332,78.266,7.650356001
4472,more details last path,18.031738,-66.031536,78.086,0.966266568
